"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Oct 21 17:08:47 EEST 2021","Thu Oct 21 17:08:47 EEST 2021","4","","search by key word","","","","test_search",""
"broken","Thu Oct 21 17:08:48 EEST 2021","Thu Oct 21 17:08:48 EEST 2021","1","","click on element","","","","test_click_computer[9]",""
"broken","Thu Oct 21 17:08:48 EEST 2021","Thu Oct 21 17:08:48 EEST 2021","1","","click on element","","","","test_click_computer[7]",""
"broken","Thu Oct 21 17:08:48 EEST 2021","Thu Oct 21 17:08:48 EEST 2021","1","","click on element","","","","test_click_computer[6]",""
"broken","Thu Oct 21 17:08:47 EEST 2021","Thu Oct 21 17:08:47 EEST 2021","1","","click on element","","","","test_click_computer[3]",""
"broken","Thu Oct 21 17:08:48 EEST 2021","Thu Oct 21 17:08:48 EEST 2021","1","","click on element","","","","test_click_computer[5]",""
"broken","Thu Oct 21 17:08:47 EEST 2021","Thu Oct 21 17:08:47 EEST 2021","1","","click on element","","","","test_click_computer[4]",""
"broken","Thu Oct 21 17:08:47 EEST 2021","Thu Oct 21 17:08:47 EEST 2021","1","","click on element","","","","test_click_computer[2]",""
"broken","Thu Oct 21 17:08:47 EEST 2021","Thu Oct 21 17:08:47 EEST 2021","1","","click on element","","","","test_click_computer[1]",""
"broken","Thu Oct 21 17:08:48 EEST 2021","Thu Oct 21 17:08:48 EEST 2021","1","","click on element","","","","test_click_computer[8]",""
